"","DATE","SUB_ICB_CODE","SUB_ICB_ONS_CODE","ICB","LA_CODE","PATIENT_TYPE","DENTAL_TREATMENT_BAND","COT","UDA","GROUP","POP","COTPer1000","UDAPer1000"
"61",2018-06-30,"03W","E38000051",NA,"E06000017","Child","Free - Prescription Issue",0,0,"Child",NA,NA,NA
"62",2018-06-30,"03W","E38000051",NA,"E06000017","Child","Free - Removal of sutures",0,0,"Child",NA,NA,NA
"63",2018-06-30,"03W","E38000051",NA,"E06000017","Child","Urgent/Occasional",128,153.6,"Child",NA,NA,NA
"64",2018-06-30,"03W","E38000051",NA,"E06000017","Non-paying adult","Band 1",241,241,"Adult",NA,NA,NA
"65",2018-06-30,"03W","E38000051",NA,"E06000017","Non-paying adult","Band 2",204,612,"Adult",NA,NA,NA
"66",2018-06-30,"03W","E38000051",NA,"E06000017","Non-paying adult","Band 3",61,732,"Adult",NA,NA,NA
"67",2018-06-30,"03W","E38000051",NA,"E06000017","Non-paying adult","Free - Arrest of Bleeding",0,0,"Adult",NA,NA,NA
"68",2018-06-30,"03W","E38000051",NA,"E06000017","Non-paying adult","Free - Bridge Repairs",0,0,"Adult",NA,NA,NA
"69",2018-06-30,"03W","E38000051",NA,"E06000017","Non-paying adult","Free - Denture Repair",0,0,"Adult",NA,NA,NA
"70",2018-06-30,"03W","E38000051",NA,"E06000017","Non-paying adult","Free - Prescription Issue",0,0,"Adult",NA,NA,NA
"71",2018-06-30,"03W","E38000051",NA,"E06000017","Non-paying adult","Free - Removal of sutures",0,0,"Adult",NA,NA,NA
"72",2018-06-30,"03W","E38000051",NA,"E06000017","Non-paying adult","Urgent/Occasional",82,98.4,"Adult",NA,NA,NA
"73",2018-06-30,"03W","E38000051",NA,"E06000017","Paying adult","Band 1",1395,1395,"Adult",NA,NA,NA
"74",2018-06-30,"03W","E38000051",NA,"E06000017","Paying adult","Band 2",809,2427,"Adult",NA,NA,NA
"75",2018-06-30,"03W","E38000051",NA,"E06000017","Paying adult","Band 3",117,1404,"Adult",NA,NA,NA
"76",2018-06-30,"03W","E38000051",NA,"E06000017","Paying adult","Free - Arrest of Bleeding",0,0,"Adult",NA,NA,NA
"77",2018-06-30,"03W","E38000051",NA,"E06000017","Paying adult","Free - Bridge Repairs",0,0,"Adult",NA,NA,NA
"78",2018-06-30,"03W","E38000051",NA,"E06000017","Paying adult","Free - Denture Repair",10,10,"Adult",NA,NA,NA
"79",2018-06-30,"03W","E38000051",NA,"E06000017","Paying adult","Free - Prescription Issue",0,0,"Adult",NA,NA,NA
"80",2018-06-30,"03W","E38000051",NA,"E06000017","Paying adult","Free - Removal of sutures",0,0,"Adult",NA,NA,NA
"81",2018-06-30,"03W","E38000051",NA,"E06000017","Paying adult","Urgent/Occasional",289,346.8,"Adult",NA,NA,NA
"82",2018-06-30,"03W","E38000051",NA,"E10000018","Child","Band 1",10970,10970,"Child",NA,NA,NA
"83",2018-06-30,"03W","E38000051",NA,"E10000018","Child","Band 2",2953,8859,"Child",NA,NA,NA
"84",2018-06-30,"03W","E38000051",NA,"E10000018","Child","Band 3",79,948,"Child",NA,NA,NA
"85",2018-06-30,"03W","E38000051",NA,"E10000018","Child","Free - Arrest of Bleeding",0,0,"Child",NA,NA,NA
"86",2018-06-30,"03W","E38000051",NA,"E10000018","Child","Free - Bridge Repairs",0,0,"Child",NA,NA,NA
"87",2018-06-30,"03W","E38000051",NA,"E10000018","Child","Free - Denture Repair",1,1,"Child",NA,NA,NA
"88",2018-06-30,"03W","E38000051",NA,"E10000018","Child","Free - Prescription Issue",0,0,"Child",NA,NA,NA
"89",2018-06-30,"03W","E38000051",NA,"E10000018","Child","Free - Removal of sutures",0,0,"Child",NA,NA,NA
"90",2018-06-30,"03W","E38000051",NA,"E10000018","Child","Urgent/Occasional",535,642,"Child",NA,NA,NA
"91",2018-06-30,"03W","E38000051",NA,"E10000018","Non-paying adult","Band 1",2157,2157,"Adult",NA,NA,NA
"92",2018-06-30,"03W","E38000051",NA,"E10000018","Non-paying adult","Band 2",2270,6810,"Adult",NA,NA,NA
"93",2018-06-30,"03W","E38000051",NA,"E10000018","Non-paying adult","Band 3",758,9096,"Adult",NA,NA,NA
"94",2018-06-30,"03W","E38000051",NA,"E10000018","Non-paying adult","Free - Arrest of Bleeding",0,0,"Adult",NA,NA,NA
"95",2018-06-30,"03W","E38000051",NA,"E10000018","Non-paying adult","Free - Bridge Repairs",0,0,"Adult",NA,NA,NA
"96",2018-06-30,"03W","E38000051",NA,"E10000018","Non-paying adult","Free - Denture Repair",0,0,"Adult",NA,NA,NA
"97",2018-06-30,"03W","E38000051",NA,"E10000018","Non-paying adult","Free - Prescription Issue",0,0,"Adult",NA,NA,NA
"98",2018-06-30,"03W","E38000051",NA,"E10000018","Non-paying adult","Free - Removal of sutures",0,0,"Adult",NA,NA,NA
"99",2018-06-30,"03W","E38000051",NA,"E10000018","Non-paying adult","Urgent/Occasional",790,948,"Adult",NA,NA,NA
"100",2018-06-30,"03W","E38000051",NA,"E10000018","Paying adult","Band 1",20262,20262,"Adult",NA,NA,NA
"101",2018-06-30,"03W","E38000051",NA,"E10000018","Paying adult","Band 2",7206,21618,"Adult",NA,NA,NA
"102",2018-06-30,"03W","E38000051",NA,"E10000018","Paying adult","Band 3",1141,13692,"Adult",NA,NA,NA
"103",2018-06-30,"03W","E38000051",NA,"E10000018","Paying adult","Free - Arrest of Bleeding",0,0,"Adult",NA,NA,NA
"104",2018-06-30,"03W","E38000051",NA,"E10000018","Paying adult","Free - Bridge Repairs",2,2.4,"Adult",NA,NA,NA
"105",2018-06-30,"03W","E38000051",NA,"E10000018","Paying adult","Free - Denture Repair",161,161,"Adult",NA,NA,NA
"106",2018-06-30,"03W","E38000051",NA,"E10000018","Paying adult","Free - Prescription Issue",0,0,"Adult",NA,NA,NA
"107",2018-06-30,"03W","E38000051",NA,"E10000018","Paying adult","Free - Removal of sutures",2,2,"Adult",NA,NA,NA
"108",2018-06-30,"03W","E38000051",NA,"E10000018","Paying adult","Urgent/Occasional",2271,2725.2,"Adult",NA,NA,NA
"109",2018-06-30,"04C","E38000097",NA,"E06000016","Child","Band 1",15514,15514,"Child",NA,NA,NA
"110",2018-06-30,"04C","E38000097",NA,"E06000016","Child","Band 2",6567,19701,"Child",NA,NA,NA
"111",2018-06-30,"04C","E38000097",NA,"E06000016","Child","Band 3",84,1008,"Child",NA,NA,NA
"112",2018-06-30,"04C","E38000097",NA,"E06000016","Child","Free - Arrest of Bleeding",0,0,"Child",NA,NA,NA
"113",2018-06-30,"04C","E38000097",NA,"E06000016","Child","Free - Bridge Repairs",0,0,"Child",NA,NA,NA
"114",2018-06-30,"04C","E38000097",NA,"E06000016","Child","Free - Denture Repair",0,0,"Child",NA,NA,NA
"115",2018-06-30,"04C","E38000097",NA,"E06000016","Child","Free - Prescription Issue",0,0,"Child",NA,NA,NA
"116",2018-06-30,"04C","E38000097",NA,"E06000016","Child","Free - Removal of sutures",0,0,"Child",NA,NA,NA
"117",2018-06-30,"04C","E38000097",NA,"E06000016","Child","Urgent/Occasional",1172,1406.4,"Child",NA,NA,NA
"118",2018-06-30,"04C","E38000097",NA,"E06000016","Non-paying adult","Band 1",6358,6358,"Adult",NA,NA,NA
"119",2018-06-30,"04C","E38000097",NA,"E06000016","Non-paying adult","Band 2",6962,20886,"Adult",NA,NA,NA
"120",2018-06-30,"04C","E38000097",NA,"E06000016","Non-paying adult","Band 3",1979,23748,"Adult",NA,NA,NA
"121",2018-06-30,"04C","E38000097",NA,"E06000016","Non-paying adult","Free - Arrest of Bleeding",0,0,"Adult",NA,NA,NA
"122",2018-06-30,"04C","E38000097",NA,"E06000016","Non-paying adult","Free - Bridge Repairs",0,0,"Adult",NA,NA,NA
"123",2018-06-30,"04C","E38000097",NA,"E06000016","Non-paying adult","Free - Denture Repair",0,0,"Adult",NA,NA,NA
"124",2018-06-30,"04C","E38000097",NA,"E06000016","Non-paying adult","Free - Prescription Issue",0,0,"Adult",NA,NA,NA
"125",2018-06-30,"04C","E38000097",NA,"E06000016","Non-paying adult","Free - Removal of sutures",0,0,"Adult",NA,NA,NA
"126",2018-06-30,"04C","E38000097",NA,"E06000016","Non-paying adult","Urgent/Occasional",2839,3406.8,"Adult",NA,NA,NA
"127",2018-06-30,"04C","E38000097",NA,"E06000016","Paying adult","Band 1",15497,15497,"Adult",NA,NA,NA
"128",2018-06-30,"04C","E38000097",NA,"E06000016","Paying adult","Band 2",8127,24381,"Adult",NA,NA,NA
"129",2018-06-30,"04C","E38000097",NA,"E06000016","Paying adult","Band 3",990,11880,"Adult",NA,NA,NA
"130",2018-06-30,"04C","E38000097",NA,"E06000016","Paying adult","Free - Arrest of Bleeding",0,0,"Adult",NA,NA,NA
"131",2018-06-30,"04C","E38000097",NA,"E06000016","Paying adult","Free - Bridge Repairs",10,12,"Adult",NA,NA,NA
"132",2018-06-30,"04C","E38000097",NA,"E06000016","Paying adult","Free - Denture Repair",159,159,"Adult",NA,NA,NA
"133",2018-06-30,"04C","E38000097",NA,"E06000016","Paying adult","Free - Prescription Issue",0,0,"Adult",NA,NA,NA
"134",2018-06-30,"04C","E38000097",NA,"E06000016","Paying adult","Free - Removal of sutures",3,3,"Adult",NA,NA,NA
"135",2018-06-30,"04C","E38000097",NA,"E06000016","Paying adult","Urgent/Occasional",3245,3894,"Adult",NA,NA,NA
"136",2018-06-30,"04D","E38000100",NA,"E10000019","Child","Band 1",7984,7984,"Child",NA,NA,NA
"137",2018-06-30,"04D","E38000100",NA,"E10000019","Child","Band 2",1618,4854,"Child",NA,NA,NA
"138",2018-06-30,"04D","E38000100",NA,"E10000019","Child","Band 3",36,432,"Child",NA,NA,NA
"139",2018-06-30,"04D","E38000100",NA,"E10000019","Child","Free - Arrest of Bleeding",0,0,"Child",NA,NA,NA
"140",2018-06-30,"04D","E38000100",NA,"E10000019","Child","Free - Bridge Repairs",0,0,"Child",NA,NA,NA
"141",2018-06-30,"04D","E38000100",NA,"E10000019","Child","Free - Denture Repair",0,0,"Child",NA,NA,NA
"142",2018-06-30,"04D","E38000100",NA,"E10000019","Child","Free - Prescription Issue",0,0,"Child",NA,NA,NA
"143",2018-06-30,"04D","E38000100",NA,"E10000019","Child","Free - Removal of sutures",0,0,"Child",NA,NA,NA
"144",2018-06-30,"04D","E38000100",NA,"E10000019","Child","Urgent/Occasional",232,278.4,"Child",NA,NA,NA
"145",2018-06-30,"04D","E38000100",NA,"E10000019","Non-paying adult","Band 1",2572,2572,"Adult",NA,NA,NA
"146",2018-06-30,"04D","E38000100",NA,"E10000019","Non-paying adult","Band 2",2034,6102,"Adult",NA,NA,NA
"147",2018-06-30,"04D","E38000100",NA,"E10000019","Non-paying adult","Band 3",556,6672,"Adult",NA,NA,NA
"148",2018-06-30,"04D","E38000100",NA,"E10000019","Non-paying adult","Free - Arrest of Bleeding",0,0,"Adult",NA,NA,NA
"149",2018-06-30,"04D","E38000100",NA,"E10000019","Non-paying adult","Free - Bridge Repairs",0,0,"Adult",NA,NA,NA
"150",2018-06-30,"04D","E38000100",NA,"E10000019","Non-paying adult","Free - Denture Repair",0,0,"Adult",NA,NA,NA
"151",2018-06-30,"04D","E38000100",NA,"E10000019","Non-paying adult","Free - Prescription Issue",0,0,"Adult",NA,NA,NA
"152",2018-06-30,"04D","E38000100",NA,"E10000019","Non-paying adult","Free - Removal of sutures",0,0,"Adult",NA,NA,NA
"153",2018-06-30,"04D","E38000100",NA,"E10000019","Non-paying adult","Urgent/Occasional",637,764.4,"Adult",NA,NA,NA
"154",2018-06-30,"04D","E38000100",NA,"E10000019","Paying adult","Band 1",14365,14365,"Adult",NA,NA,NA
"155",2018-06-30,"04D","E38000100",NA,"E10000019","Paying adult","Band 2",6544,19632,"Adult",NA,NA,NA
"156",2018-06-30,"04D","E38000100",NA,"E10000019","Paying adult","Band 3",718,8616,"Adult",NA,NA,NA
"157",2018-06-30,"04D","E38000100",NA,"E10000019","Paying adult","Free - Arrest of Bleeding",1,1.2,"Adult",NA,NA,NA
"158",2018-06-30,"04D","E38000100",NA,"E10000019","Paying adult","Free - Bridge Repairs",0,0,"Adult",NA,NA,NA
"159",2018-06-30,"04D","E38000100",NA,"E10000019","Paying adult","Free - Denture Repair",130,130,"Adult",NA,NA,NA
"160",2018-06-30,"04D","E38000100",NA,"E10000019","Paying adult","Free - Prescription Issue",0,0,"Adult",NA,NA,NA
"161",2018-06-30,"04D","E38000100",NA,"E10000019","Paying adult","Free - Removal of sutures",0,0,"Adult",NA,NA,NA
"162",2018-06-30,"04D","E38000100",NA,"E10000019","Paying adult","Urgent/Occasional",1984,2380.8,"Adult",NA,NA,NA
"163",2018-06-30,"04E","E38000103",NA,"E10000024","Child","Band 1",6687,6687,"Child",NA,NA,NA
"164",2018-06-30,"04E","E38000103",NA,"E10000024","Child","Band 2",1837,5511,"Child",NA,NA,NA
"165",2018-06-30,"04E","E38000103",NA,"E10000024","Child","Band 3",42,504,"Child",NA,NA,NA
"166",2018-06-30,"04E","E38000103",NA,"E10000024","Child","Free - Arrest of Bleeding",0,0,"Child",NA,NA,NA
"167",2018-06-30,"04E","E38000103",NA,"E10000024","Child","Free - Bridge Repairs",0,0,"Child",NA,NA,NA
"168",2018-06-30,"04E","E38000103",NA,"E10000024","Child","Free - Denture Repair",0,0,"Child",NA,NA,NA
"169",2018-06-30,"04E","E38000103",NA,"E10000024","Child","Free - Prescription Issue",0,0,"Child",NA,NA,NA
"170",2018-06-30,"04E","E38000103",NA,"E10000024","Child","Free - Removal of sutures",0,0,"Child",NA,NA,NA
"171",2018-06-30,"04E","E38000103",NA,"E10000024","Child","Urgent/Occasional",331,397.2,"Child",NA,NA,NA
"172",2018-06-30,"04E","E38000103",NA,"E10000024","Non-paying adult","Band 1",2361,2361,"Adult",NA,NA,NA
"173",2018-06-30,"04E","E38000103",NA,"E10000024","Non-paying adult","Band 2",2051,6153,"Adult",NA,NA,NA
"174",2018-06-30,"04E","E38000103",NA,"E10000024","Non-paying adult","Band 3",553,6636,"Adult",NA,NA,NA
"175",2018-06-30,"04E","E38000103",NA,"E10000024","Non-paying adult","Free - Arrest of Bleeding",0,0,"Adult",NA,NA,NA
"176",2018-06-30,"04E","E38000103",NA,"E10000024","Non-paying adult","Free - Bridge Repairs",0,0,"Adult",NA,NA,NA
"177",2018-06-30,"04E","E38000103",NA,"E10000024","Non-paying adult","Free - Denture Repair",0,0,"Adult",NA,NA,NA
"178",2018-06-30,"04E","E38000103",NA,"E10000024","Non-paying adult","Free - Prescription Issue",0,0,"Adult",NA,NA,NA
"179",2018-06-30,"04E","E38000103",NA,"E10000024","Non-paying adult","Free - Removal of sutures",0,0,"Adult",NA,NA,NA
"180",2018-06-30,"04E","E38000103",NA,"E10000024","Non-paying adult","Urgent/Occasional",767,920.4,"Adult",NA,NA,NA
"181",2018-06-30,"04E","E38000103",NA,"E10000024","Paying adult","Band 1",10098,10098,"Adult",NA,NA,NA
"182",2018-06-30,"04E","E38000103",NA,"E10000024","Paying adult","Band 2",4501,13503,"Adult",NA,NA,NA
"183",2018-06-30,"04E","E38000103",NA,"E10000024","Paying adult","Band 3",582,6984,"Adult",NA,NA,NA
"184",2018-06-30,"04E","E38000103",NA,"E10000024","Paying adult","Free - Arrest of Bleeding",0,0,"Adult",NA,NA,NA
"185",2018-06-30,"04E","E38000103",NA,"E10000024","Paying adult","Free - Bridge Repairs",0,0,"Adult",NA,NA,NA
"186",2018-06-30,"04E","E38000103",NA,"E10000024","Paying adult","Free - Denture Repair",103,103,"Adult",NA,NA,NA
"187",2018-06-30,"04E","E38000103",NA,"E10000024","Paying adult","Free - Prescription Issue",0,0,"Adult",NA,NA,NA
"188",2018-06-30,"04E","E38000103",NA,"E10000024","Paying adult","Free - Removal of sutures",0,0,"Adult",NA,NA,NA
"189",2018-06-30,"04E","E38000103",NA,"E10000024","Paying adult","Urgent/Occasional",1212,1454.4,"Adult",NA,NA,NA
"190",2018-06-30,"04G","E38000108",NA,"E10000021","Child","Band 1",26724,26724,"Child",NA,NA,NA
"191",2018-06-30,"04G","E38000108",NA,"E10000021","Child","Band 2",7166,21498,"Child",NA,NA,NA
"192",2018-06-30,"04G","E38000108",NA,"E10000021","Child","Band 3",219,2628,"Child",NA,NA,NA
"193",2018-06-30,"04G","E38000108",NA,"E10000021","Child","Free - Arrest of Bleeding",1,1.2,"Child",NA,NA,NA
"194",2018-06-30,"04G","E38000108",NA,"E10000021","Child","Free - Bridge Repairs",0,0,"Child",NA,NA,NA
"195",2018-06-30,"04G","E38000108",NA,"E10000021","Child","Free - Denture Repair",0,0,"Child",NA,NA,NA
"196",2018-06-30,"04G","E38000108",NA,"E10000021","Child","Free - Prescription Issue",0,0,"Child",NA,NA,NA
"197",2018-06-30,"04G","E38000108",NA,"E10000021","Child","Free - Removal of sutures",0,0,"Child",NA,NA,NA
"198",2018-06-30,"04G","E38000108",NA,"E10000021","Child","Urgent/Occasional",1327,1592.4,"Child",NA,NA,NA
"199",2018-06-30,"04G","E38000108",NA,"E10000021","Non-paying adult","Band 1",5730,5730,"Adult",NA,NA,NA
"200",2018-06-30,"04G","E38000108",NA,"E10000021","Non-paying adult","Band 2",5213,15639,"Adult",NA,NA,NA
"201",2018-06-30,"04G","E38000108",NA,"E10000021","Non-paying adult","Band 3",1707,20484,"Adult",NA,NA,NA
"202",2018-06-30,"04G","E38000108",NA,"E10000021","Non-paying adult","Free - Arrest of Bleeding",0,0,"Adult",NA,NA,NA
"203",2018-06-30,"04G","E38000108",NA,"E10000021","Non-paying adult","Free - Bridge Repairs",0,0,"Adult",NA,NA,NA
"204",2018-06-30,"04G","E38000108",NA,"E10000021","Non-paying adult","Free - Denture Repair",0,0,"Adult",NA,NA,NA
"205",2018-06-30,"04G","E38000108",NA,"E10000021","Non-paying adult","Free - Prescription Issue",0,0,"Adult",NA,NA,NA
"206",2018-06-30,"04G","E38000108",NA,"E10000021","Non-paying adult","Free - Removal of sutures",0,0,"Adult",NA,NA,NA
"207",2018-06-30,"04G","E38000108",NA,"E10000021","Non-paying adult","Urgent/Occasional",2172,2606.4,"Adult",NA,NA,NA
"208",2018-06-30,"04G","E38000108",NA,"E10000021","Paying adult","Band 1",37821,37821,"Adult",NA,NA,NA
"209",2018-06-30,"04G","E38000108",NA,"E10000021","Paying adult","Band 2",16469,49407,"Adult",NA,NA,NA
"210",2018-06-30,"04G","E38000108",NA,"E10000021","Paying adult","Band 3",2431,29172,"Adult",NA,NA,NA
"211",2018-06-30,"04G","E38000108",NA,"E10000021","Paying adult","Free - Arrest of Bleeding",3,3.6,"Adult",NA,NA,NA
"212",2018-06-30,"04G","E38000108",NA,"E10000021","Paying adult","Free - Bridge Repairs",16,19.2,"Adult",NA,NA,NA
"213",2018-06-30,"04G","E38000108",NA,"E10000021","Paying adult","Free - Denture Repair",248,248,"Adult",NA,NA,NA
"214",2018-06-30,"04G","E38000108",NA,"E10000021","Paying adult","Free - Prescription Issue",0,0,"Adult",NA,NA,NA
"215",2018-06-30,"04G","E38000108",NA,"E10000021","Paying adult","Free - Removal of sutures",20,20,"Adult",NA,NA,NA
"216",2018-06-30,"04G","E38000108",NA,"E10000021","Paying adult","Urgent/Occasional",5825,6990,"Adult",NA,NA,NA
"217",2018-06-30,"04H","E38000109",NA,"E10000024","Child","Band 1",4327,4327,"Child",NA,NA,NA
"218",2018-06-30,"04H","E38000109",NA,"E10000024","Child","Band 2",1193,3579,"Child",NA,NA,NA
"219",2018-06-30,"04H","E38000109",NA,"E10000024","Child","Band 3",20,240,"Child",NA,NA,NA
"220",2018-06-30,"04H","E38000109",NA,"E10000024","Child","Free - Arrest of Bleeding",0,0,"Child",NA,NA,NA
"221",2018-06-30,"04H","E38000109",NA,"E10000024","Child","Free - Bridge Repairs",0,0,"Child",NA,NA,NA
"222",2018-06-30,"04H","E38000109",NA,"E10000024","Child","Free - Denture Repair",0,0,"Child",NA,NA,NA
"223",2018-06-30,"04H","E38000109",NA,"E10000024","Child","Free - Prescription Issue",0,0,"Child",NA,NA,NA
"224",2018-06-30,"04H","E38000109",NA,"E10000024","Child","Free - Removal of sutures",0,0,"Child",NA,NA,NA
"225",2018-06-30,"04H","E38000109",NA,"E10000024","Child","Urgent/Occasional",167,200.4,"Child",NA,NA,NA
