"","Year","Geography","Parent_Code_1","Sub_ICB_Code","Group","Contract_Type","Age_Group","Gender","Dentist_Type","Dentist_Count","Financial_yr","Region","ICB"
"51","2015-16","2.NHS England Region","Y56",NA,"Workforce","PDS","45-54","F",NA,45,"2016",NA,NA
"52","2015-16","2.NHS England Region","Y56",NA,"Workforce","PDS","45-54","M",NA,32,"2016",NA,NA
"53","2015-16","2.NHS England Region","Y56",NA,"Workforce","PDS","55+","F",NA,20,"2016",NA,NA
"54","2015-16","2.NHS England Region","Y56",NA,"Workforce","PDS","55+","M",NA,28,"2016",NA,NA
"55","2015-16","2.NHS England Region","Y56",NA,"Workforce","PDS","Under 35","F",NA,54,"2016",NA,NA
"56","2015-16","2.NHS England Region","Y56",NA,"Workforce","PDS","Under 35","M",NA,35,"2016",NA,NA
"57","2015-16","2.NHS England Region","Y56",NA,"Workforce","TDS","35-44","F",NA,35,"2016",NA,NA
"58","2015-16","2.NHS England Region","Y56",NA,"Workforce","TDS","35-44","M",NA,12,"2016",NA,NA
"59","2015-16","2.NHS England Region","Y56",NA,"Workforce","TDS","45-54","F",NA,32,"2016",NA,NA
"60","2015-16","2.NHS England Region","Y56",NA,"Workforce","TDS","45-54","M",NA,8,"2016",NA,NA
"61","2015-16","2.NHS England Region","Y56",NA,"Workforce","TDS","55+","F",NA,22,"2016",NA,NA
"62","2015-16","2.NHS England Region","Y56",NA,"Workforce","TDS","55+","M",NA,12,"2016",NA,NA
"63","2015-16","2.NHS England Region","Y56",NA,"Workforce","TDS","Under 35","F",NA,37,"2016",NA,NA
"64","2015-16","2.NHS England Region","Y56",NA,"Workforce","TDS","Under 35","M",NA,4,"2016",NA,NA
"65","2015-16","2.NHS England Region","Y58",NA,"Workforce","GDS","35-44","F",NA,316,"2016",NA,NA
"66","2015-16","2.NHS England Region","Y58",NA,"Workforce","GDS","35-44","M",NA,357,"2016",NA,NA
"67","2015-16","2.NHS England Region","Y58",NA,"Workforce","GDS","45-54","F",NA,202,"2016",NA,NA
"68","2015-16","2.NHS England Region","Y58",NA,"Workforce","GDS","45-54","M",NA,297,"2016",NA,NA
"69","2015-16","2.NHS England Region","Y58",NA,"Workforce","GDS","55+","F",NA,65,"2016",NA,NA
"70","2015-16","2.NHS England Region","Y58",NA,"Workforce","GDS","55+","M",NA,259,"2016",NA,NA
"71","2015-16","2.NHS England Region","Y58",NA,"Workforce","GDS","Under 35","F",NA,440,"2016",NA,NA
"72","2015-16","2.NHS England Region","Y58",NA,"Workforce","GDS","Under 35","M",NA,341,"2016",NA,NA
"73","2015-16","2.NHS England Region","Y58",NA,"Workforce","Mixed","35-44","F",NA,20,"2016",NA,NA
"74","2015-16","2.NHS England Region","Y58",NA,"Workforce","Mixed","35-44","M",NA,21,"2016",NA,NA
"75","2015-16","2.NHS England Region","Y58",NA,"Workforce","Mixed","45-54","F",NA,16,"2016",NA,NA
"76","2015-16","2.NHS England Region","Y58",NA,"Workforce","Mixed","45-54","M",NA,23,"2016",NA,NA
"77","2015-16","2.NHS England Region","Y58",NA,"Workforce","Mixed","55+","F",NA,5,"2016",NA,NA
"78","2015-16","2.NHS England Region","Y58",NA,"Workforce","Mixed","55+","M",NA,7,"2016",NA,NA
"79","2015-16","2.NHS England Region","Y58",NA,"Workforce","Mixed","Under 35","F",NA,21,"2016",NA,NA
"80","2015-16","2.NHS England Region","Y58",NA,"Workforce","Mixed","Under 35","M",NA,15,"2016",NA,NA
"81","2015-16","2.NHS England Region","Y58",NA,"Workforce","PDS","35-44","F",NA,33,"2016",NA,NA
"82","2015-16","2.NHS England Region","Y58",NA,"Workforce","PDS","35-44","M",NA,24,"2016",NA,NA
"83","2015-16","2.NHS England Region","Y58",NA,"Workforce","PDS","45-54","F",NA,29,"2016",NA,NA
"84","2015-16","2.NHS England Region","Y58",NA,"Workforce","PDS","45-54","M",NA,37,"2016",NA,NA
"85","2015-16","2.NHS England Region","Y58",NA,"Workforce","PDS","55+","F",NA,26,"2016",NA,NA
"86","2015-16","2.NHS England Region","Y58",NA,"Workforce","PDS","55+","M",NA,20,"2016",NA,NA
"87","2015-16","2.NHS England Region","Y58",NA,"Workforce","PDS","Under 35","F",NA,28,"2016",NA,NA
"88","2015-16","2.NHS England Region","Y58",NA,"Workforce","PDS","Under 35","M",NA,12,"2016",NA,NA
"89","2015-16","2.NHS England Region","Y58",NA,"Workforce","TDS","35-44","F",NA,19,"2016",NA,NA
"90","2015-16","2.NHS England Region","Y58",NA,"Workforce","TDS","35-44","M",NA,10,"2016",NA,NA
"91","2015-16","2.NHS England Region","Y58",NA,"Workforce","TDS","45-54","F",NA,22,"2016",NA,NA
"92","2015-16","2.NHS England Region","Y58",NA,"Workforce","TDS","45-54","M",NA,6,"2016",NA,NA
"93","2015-16","2.NHS England Region","Y58",NA,"Workforce","TDS","55+","F",NA,13,"2016",NA,NA
"94","2015-16","2.NHS England Region","Y58",NA,"Workforce","TDS","55+","M",NA,6,"2016",NA,NA
"95","2015-16","2.NHS England Region","Y58",NA,"Workforce","TDS","Under 35","F",NA,22,"2016",NA,NA
"96","2015-16","2.NHS England Region","Y58",NA,"Workforce","TDS","Under 35","M",NA,10,"2016",NA,NA
"97","2015-16","2.NHS England Region","Y59",NA,"Workforce","GDS","35-44","F",NA,550,"2016",NA,NA
"98","2015-16","2.NHS England Region","Y59",NA,"Workforce","GDS","35-44","M",NA,505,"2016",NA,NA
"99","2015-16","2.NHS England Region","Y59",NA,"Workforce","GDS","45-54","F",NA,303,"2016",NA,NA
"100","2015-16","2.NHS England Region","Y59",NA,"Workforce","GDS","45-54","M",NA,430,"2016",NA,NA
"101","2015-16","2.NHS England Region","Y59",NA,"Workforce","GDS","55+","F",NA,129,"2016",NA,NA
"102","2015-16","2.NHS England Region","Y59",NA,"Workforce","GDS","55+","M",NA,405,"2016",NA,NA
"103","2015-16","2.NHS England Region","Y59",NA,"Workforce","GDS","Under 35","F",NA,773,"2016",NA,NA
"104","2015-16","2.NHS England Region","Y59",NA,"Workforce","GDS","Under 35","M",NA,556,"2016",NA,NA
"105","2015-16","2.NHS England Region","Y59",NA,"Workforce","Mixed","35-44","F",NA,35,"2016",NA,NA
"106","2015-16","2.NHS England Region","Y59",NA,"Workforce","Mixed","35-44","M",NA,33,"2016",NA,NA
"107","2015-16","2.NHS England Region","Y59",NA,"Workforce","Mixed","45-54","F",NA,15,"2016",NA,NA
"108","2015-16","2.NHS England Region","Y59",NA,"Workforce","Mixed","45-54","M",NA,27,"2016",NA,NA
"109","2015-16","2.NHS England Region","Y59",NA,"Workforce","Mixed","55+","F",NA,9,"2016",NA,NA
"110","2015-16","2.NHS England Region","Y59",NA,"Workforce","Mixed","55+","M",NA,21,"2016",NA,NA
"111","2015-16","2.NHS England Region","Y59",NA,"Workforce","Mixed","Under 35","F",NA,48,"2016",NA,NA
"112","2015-16","2.NHS England Region","Y59",NA,"Workforce","Mixed","Under 35","M",NA,28,"2016",NA,NA
"113","2015-16","2.NHS England Region","Y59",NA,"Workforce","PDS","35-44","F",NA,63,"2016",NA,NA
"114","2015-16","2.NHS England Region","Y59",NA,"Workforce","PDS","35-44","M",NA,32,"2016",NA,NA
"115","2015-16","2.NHS England Region","Y59",NA,"Workforce","PDS","45-54","F",NA,48,"2016",NA,NA
"116","2015-16","2.NHS England Region","Y59",NA,"Workforce","PDS","45-54","M",NA,49,"2016",NA,NA
"117","2015-16","2.NHS England Region","Y59",NA,"Workforce","PDS","55+","F",NA,39,"2016",NA,NA
"118","2015-16","2.NHS England Region","Y59",NA,"Workforce","PDS","55+","M",NA,41,"2016",NA,NA
"119","2015-16","2.NHS England Region","Y59",NA,"Workforce","PDS","Under 35","F",NA,55,"2016",NA,NA
"120","2015-16","2.NHS England Region","Y59",NA,"Workforce","PDS","Under 35","M",NA,29,"2016",NA,NA
"121","2015-16","2.NHS England Region","Y59",NA,"Workforce","TDS","35-44","F",NA,20,"2016",NA,NA
"122","2015-16","2.NHS England Region","Y59",NA,"Workforce","TDS","35-44","M",NA,8,"2016",NA,NA
"123","2015-16","2.NHS England Region","Y59",NA,"Workforce","TDS","45-54","F",NA,22,"2016",NA,NA
"124","2015-16","2.NHS England Region","Y59",NA,"Workforce","TDS","45-54","M",NA,4,"2016",NA,NA
"125","2015-16","2.NHS England Region","Y59",NA,"Workforce","TDS","55+","F",NA,18,"2016",NA,NA
"126","2015-16","2.NHS England Region","Y59",NA,"Workforce","TDS","55+","M",NA,12,"2016",NA,NA
"127","2015-16","2.NHS England Region","Y59",NA,"Workforce","TDS","Under 35","F",NA,24,"2016",NA,NA
"128","2015-16","2.NHS England Region","Y59",NA,"Workforce","TDS","Under 35","M",NA,3,"2016",NA,NA
"129","2015-16","2.NHS England Region","Y60",NA,"Workforce","GDS","35-44","F",NA,504,"2016","Midlands",NA
"130","2015-16","2.NHS England Region","Y60",NA,"Workforce","GDS","35-44","M",NA,518,"2016","Midlands",NA
"131","2015-16","2.NHS England Region","Y60",NA,"Workforce","GDS","45-54","F",NA,274,"2016","Midlands",NA
"132","2015-16","2.NHS England Region","Y60",NA,"Workforce","GDS","45-54","M",NA,440,"2016","Midlands",NA
"133","2015-16","2.NHS England Region","Y60",NA,"Workforce","GDS","55+","F",NA,73,"2016","Midlands",NA
"134","2015-16","2.NHS England Region","Y60",NA,"Workforce","GDS","55+","M",NA,349,"2016","Midlands",NA
"135","2015-16","2.NHS England Region","Y60",NA,"Workforce","GDS","Under 35","F",NA,758,"2016","Midlands",NA
"136","2015-16","2.NHS England Region","Y60",NA,"Workforce","GDS","Under 35","M",NA,649,"2016","Midlands",NA
"137","2015-16","2.NHS England Region","Y60",NA,"Workforce","Mixed","35-44","F",NA,31,"2016","Midlands",NA
"138","2015-16","2.NHS England Region","Y60",NA,"Workforce","Mixed","35-44","M",NA,48,"2016","Midlands",NA
"139","2015-16","2.NHS England Region","Y60",NA,"Workforce","Mixed","45-54","F",NA,11,"2016","Midlands",NA
"140","2015-16","2.NHS England Region","Y60",NA,"Workforce","Mixed","45-54","M",NA,33,"2016","Midlands",NA
"141","2015-16","2.NHS England Region","Y60",NA,"Workforce","Mixed","55+","F",NA,4,"2016","Midlands",NA
"142","2015-16","2.NHS England Region","Y60",NA,"Workforce","Mixed","55+","M",NA,17,"2016","Midlands",NA
"143","2015-16","2.NHS England Region","Y60",NA,"Workforce","Mixed","Under 35","F",NA,65,"2016","Midlands",NA
"144","2015-16","2.NHS England Region","Y60",NA,"Workforce","Mixed","Under 35","M",NA,55,"2016","Midlands",NA
"145","2015-16","2.NHS England Region","Y60",NA,"Workforce","PDS","35-44","F",NA,42,"2016","Midlands",NA
"146","2015-16","2.NHS England Region","Y60",NA,"Workforce","PDS","35-44","M",NA,34,"2016","Midlands",NA
"147","2015-16","2.NHS England Region","Y60",NA,"Workforce","PDS","45-54","F",NA,33,"2016","Midlands",NA
"148","2015-16","2.NHS England Region","Y60",NA,"Workforce","PDS","45-54","M",NA,39,"2016","Midlands",NA
"149","2015-16","2.NHS England Region","Y60",NA,"Workforce","PDS","55+","F",NA,17,"2016","Midlands",NA
"150","2015-16","2.NHS England Region","Y60",NA,"Workforce","PDS","55+","M",NA,38,"2016","Midlands",NA
"151","2015-16","2.NHS England Region","Y60",NA,"Workforce","PDS","Under 35","F",NA,36,"2016","Midlands",NA
"152","2015-16","2.NHS England Region","Y60",NA,"Workforce","PDS","Under 35","M",NA,42,"2016","Midlands",NA
"153","2015-16","2.NHS England Region","Y60",NA,"Workforce","TDS","35-44","F",NA,59,"2016","Midlands",NA
"154","2015-16","2.NHS England Region","Y60",NA,"Workforce","TDS","35-44","M",NA,11,"2016","Midlands",NA
"155","2015-16","2.NHS England Region","Y60",NA,"Workforce","TDS","45-54","F",NA,32,"2016","Midlands",NA
"156","2015-16","2.NHS England Region","Y60",NA,"Workforce","TDS","45-54","M",NA,17,"2016","Midlands",NA
"157","2015-16","2.NHS England Region","Y60",NA,"Workforce","TDS","55+","F",NA,32,"2016","Midlands",NA
"158","2015-16","2.NHS England Region","Y60",NA,"Workforce","TDS","55+","M",NA,24,"2016","Midlands",NA
"159","2015-16","2.NHS England Region","Y60",NA,"Workforce","TDS","Under 35","F",NA,39,"2016","Midlands",NA
"160","2015-16","2.NHS England Region","Y60",NA,"Workforce","TDS","Under 35","M",NA,23,"2016","Midlands",NA
"161","2015-16","2.NHS England Region","Y61",NA,"Workforce","GDS","35-44","F",NA,351,"2016",NA,NA
"162","2015-16","2.NHS England Region","Y61",NA,"Workforce","GDS","35-44","M",NA,293,"2016",NA,NA
"163","2015-16","2.NHS England Region","Y61",NA,"Workforce","GDS","45-54","F",NA,187,"2016",NA,NA
"164","2015-16","2.NHS England Region","Y61",NA,"Workforce","GDS","45-54","M",NA,306,"2016",NA,NA
"165","2015-16","2.NHS England Region","Y61",NA,"Workforce","GDS","55+","F",NA,55,"2016",NA,NA
"166","2015-16","2.NHS England Region","Y61",NA,"Workforce","GDS","55+","M",NA,290,"2016",NA,NA
"167","2015-16","2.NHS England Region","Y61",NA,"Workforce","GDS","Under 35","F",NA,574,"2016",NA,NA
"168","2015-16","2.NHS England Region","Y61",NA,"Workforce","GDS","Under 35","M",NA,447,"2016",NA,NA
"169","2015-16","2.NHS England Region","Y61",NA,"Workforce","Mixed","35-44","F",NA,27,"2016",NA,NA
"170","2015-16","2.NHS England Region","Y61",NA,"Workforce","Mixed","35-44","M",NA,30,"2016",NA,NA
"171","2015-16","2.NHS England Region","Y61",NA,"Workforce","Mixed","45-54","F",NA,14,"2016",NA,NA
"172","2015-16","2.NHS England Region","Y61",NA,"Workforce","Mixed","45-54","M",NA,22,"2016",NA,NA
"173","2015-16","2.NHS England Region","Y61",NA,"Workforce","Mixed","55+","F",NA,4,"2016",NA,NA
"174","2015-16","2.NHS England Region","Y61",NA,"Workforce","Mixed","55+","M",NA,20,"2016",NA,NA
"175","2015-16","2.NHS England Region","Y61",NA,"Workforce","Mixed","Under 35","F",NA,39,"2016",NA,NA
"176","2015-16","2.NHS England Region","Y61",NA,"Workforce","Mixed","Under 35","M",NA,22,"2016",NA,NA
"177","2015-16","2.NHS England Region","Y61",NA,"Workforce","PDS","35-44","F",NA,52,"2016",NA,NA
"178","2015-16","2.NHS England Region","Y61",NA,"Workforce","PDS","35-44","M",NA,43,"2016",NA,NA
"179","2015-16","2.NHS England Region","Y61",NA,"Workforce","PDS","45-54","F",NA,41,"2016",NA,NA
"180","2015-16","2.NHS England Region","Y61",NA,"Workforce","PDS","45-54","M",NA,30,"2016",NA,NA
"181","2015-16","2.NHS England Region","Y61",NA,"Workforce","PDS","55+","F",NA,13,"2016",NA,NA
"182","2015-16","2.NHS England Region","Y61",NA,"Workforce","PDS","55+","M",NA,42,"2016",NA,NA
"183","2015-16","2.NHS England Region","Y61",NA,"Workforce","PDS","Under 35","F",NA,53,"2016",NA,NA
"184","2015-16","2.NHS England Region","Y61",NA,"Workforce","PDS","Under 35","M",NA,41,"2016",NA,NA
"185","2015-16","2.NHS England Region","Y61",NA,"Workforce","TDS","35-44","F",NA,21,"2016",NA,NA
"186","2015-16","2.NHS England Region","Y61",NA,"Workforce","TDS","35-44","M",NA,1,"2016",NA,NA
"187","2015-16","2.NHS England Region","Y61",NA,"Workforce","TDS","45-54","F",NA,11,"2016",NA,NA
"188","2015-16","2.NHS England Region","Y61",NA,"Workforce","TDS","45-54","M",NA,9,"2016",NA,NA
"189","2015-16","2.NHS England Region","Y61",NA,"Workforce","TDS","55+","F",NA,8,"2016",NA,NA
"190","2015-16","2.NHS England Region","Y61",NA,"Workforce","TDS","55+","M",NA,5,"2016",NA,NA
"191","2015-16","2.NHS England Region","Y61",NA,"Workforce","TDS","Under 35","F",NA,10,"2016",NA,NA
"192","2015-16","2.NHS England Region","Y61",NA,"Workforce","TDS","Under 35","M",NA,2,"2016",NA,NA
"193","2015-16","2.NHS England Region","Y62",NA,"Workforce","GDS","35-44","F",NA,333,"2016",NA,NA
"194","2015-16","2.NHS England Region","Y62",NA,"Workforce","GDS","35-44","M",NA,365,"2016",NA,NA
"195","2015-16","2.NHS England Region","Y62",NA,"Workforce","GDS","45-54","F",NA,178,"2016",NA,NA
"196","2015-16","2.NHS England Region","Y62",NA,"Workforce","GDS","45-54","M",NA,365,"2016",NA,NA
"197","2015-16","2.NHS England Region","Y62",NA,"Workforce","GDS","55+","F",NA,61,"2016",NA,NA
"198","2015-16","2.NHS England Region","Y62",NA,"Workforce","GDS","55+","M",NA,288,"2016",NA,NA
"199","2015-16","2.NHS England Region","Y62",NA,"Workforce","GDS","Under 35","F",NA,610,"2016",NA,NA
"200","2015-16","2.NHS England Region","Y62",NA,"Workforce","GDS","Under 35","M",NA,471,"2016",NA,NA
"201","2015-16","2.NHS England Region","Y62",NA,"Workforce","Mixed","35-44","F",NA,22,"2016",NA,NA
"202","2015-16","2.NHS England Region","Y62",NA,"Workforce","Mixed","35-44","M",NA,29,"2016",NA,NA
"203","2015-16","2.NHS England Region","Y62",NA,"Workforce","Mixed","45-54","F",NA,13,"2016",NA,NA
"204","2015-16","2.NHS England Region","Y62",NA,"Workforce","Mixed","45-54","M",NA,9,"2016",NA,NA
"205","2015-16","2.NHS England Region","Y62",NA,"Workforce","Mixed","55+","F",NA,2,"2016",NA,NA
"206","2015-16","2.NHS England Region","Y62",NA,"Workforce","Mixed","55+","M",NA,12,"2016",NA,NA
"207","2015-16","2.NHS England Region","Y62",NA,"Workforce","Mixed","Under 35","F",NA,40,"2016",NA,NA
"208","2015-16","2.NHS England Region","Y62",NA,"Workforce","Mixed","Under 35","M",NA,35,"2016",NA,NA
"209","2015-16","2.NHS England Region","Y62",NA,"Workforce","PDS","35-44","F",NA,43,"2016",NA,NA
"210","2015-16","2.NHS England Region","Y62",NA,"Workforce","PDS","35-44","M",NA,22,"2016",NA,NA
"211","2015-16","2.NHS England Region","Y62",NA,"Workforce","PDS","45-54","F",NA,42,"2016",NA,NA
"212","2015-16","2.NHS England Region","Y62",NA,"Workforce","PDS","45-54","M",NA,31,"2016",NA,NA
"213","2015-16","2.NHS England Region","Y62",NA,"Workforce","PDS","55+","F",NA,20,"2016",NA,NA
"214","2015-16","2.NHS England Region","Y62",NA,"Workforce","PDS","55+","M",NA,34,"2016",NA,NA
"215","2015-16","2.NHS England Region","Y62",NA,"Workforce","PDS","Under 35","F",NA,30,"2016",NA,NA
"216","2015-16","2.NHS England Region","Y62",NA,"Workforce","PDS","Under 35","M",NA,15,"2016",NA,NA
"217","2015-16","2.NHS England Region","Y62",NA,"Workforce","TDS","35-44","F",NA,23,"2016",NA,NA
"218","2015-16","2.NHS England Region","Y62",NA,"Workforce","TDS","35-44","M",NA,7,"2016",NA,NA
"219","2015-16","2.NHS England Region","Y62",NA,"Workforce","TDS","45-54","F",NA,20,"2016",NA,NA
"220","2015-16","2.NHS England Region","Y62",NA,"Workforce","TDS","45-54","M",NA,9,"2016",NA,NA
"221","2015-16","2.NHS England Region","Y62",NA,"Workforce","TDS","55+","F",NA,20,"2016",NA,NA
"222","2015-16","2.NHS England Region","Y62",NA,"Workforce","TDS","55+","M",NA,17,"2016",NA,NA
"223","2015-16","2.NHS England Region","Y62",NA,"Workforce","TDS","Under 35","F",NA,17,"2016",NA,NA
"224","2015-16","2.NHS England Region","Y62",NA,"Workforce","TDS","Under 35","M",NA,7,"2016",NA,NA
"225","2015-16","2.NHS England Region","Y63",NA,"Workforce","GDS","35-44","F",NA,437,"2016",NA,NA
"226","2015-16","2.NHS England Region","Y63",NA,"Workforce","GDS","35-44","M",NA,475,"2016",NA,NA
"227","2015-16","2.NHS England Region","Y63",NA,"Workforce","GDS","45-54","F",NA,267,"2016",NA,NA
"228","2015-16","2.NHS England Region","Y63",NA,"Workforce","GDS","45-54","M",NA,405,"2016",NA,NA
"229","2015-16","2.NHS England Region","Y63",NA,"Workforce","GDS","55+","F",NA,98,"2016",NA,NA
"230","2015-16","2.NHS England Region","Y63",NA,"Workforce","GDS","55+","M",NA,314,"2016",NA,NA
"231","2015-16","2.NHS England Region","Y63",NA,"Workforce","GDS","Under 35","F",NA,765,"2016",NA,NA
"232","2015-16","2.NHS England Region","Y63",NA,"Workforce","GDS","Under 35","M",NA,628,"2016",NA,NA
"233","2015-16","2.NHS England Region","Y63",NA,"Workforce","Mixed","35-44","F",NA,28,"2016",NA,NA
"234","2015-16","2.NHS England Region","Y63",NA,"Workforce","Mixed","35-44","M",NA,34,"2016",NA,NA
"235","2015-16","2.NHS England Region","Y63",NA,"Workforce","Mixed","45-54","F",NA,14,"2016",NA,NA
"236","2015-16","2.NHS England Region","Y63",NA,"Workforce","Mixed","45-54","M",NA,18,"2016",NA,NA
"237","2015-16","2.NHS England Region","Y63",NA,"Workforce","Mixed","55+","F",NA,6,"2016",NA,NA
"238","2015-16","2.NHS England Region","Y63",NA,"Workforce","Mixed","55+","M",NA,12,"2016",NA,NA
"239","2015-16","2.NHS England Region","Y63",NA,"Workforce","Mixed","Under 35","F",NA,50,"2016",NA,NA
"240","2015-16","2.NHS England Region","Y63",NA,"Workforce","Mixed","Under 35","M",NA,42,"2016",NA,NA
"241","2015-16","2.NHS England Region","Y63",NA,"Workforce","PDS","35-44","F",NA,32,"2016",NA,NA
"242","2015-16","2.NHS England Region","Y63",NA,"Workforce","PDS","35-44","M",NA,42,"2016",NA,NA
"243","2015-16","2.NHS England Region","Y63",NA,"Workforce","PDS","45-54","F",NA,47,"2016",NA,NA
"244","2015-16","2.NHS England Region","Y63",NA,"Workforce","PDS","45-54","M",NA,52,"2016",NA,NA
"245","2015-16","2.NHS England Region","Y63",NA,"Workforce","PDS","55+","F",NA,11,"2016",NA,NA
"246","2015-16","2.NHS England Region","Y63",NA,"Workforce","PDS","55+","M",NA,43,"2016",NA,NA
"247","2015-16","2.NHS England Region","Y63",NA,"Workforce","PDS","Under 35","F",NA,39,"2016",NA,NA
"248","2015-16","2.NHS England Region","Y63",NA,"Workforce","PDS","Under 35","M",NA,29,"2016",NA,NA
"249","2015-16","2.NHS England Region","Y63",NA,"Workforce","TDS","35-44","F",NA,38,"2016",NA,NA
"250","2015-16","2.NHS England Region","Y63",NA,"Workforce","TDS","35-44","M",NA,11,"2016",NA,NA
"251","2015-16","2.NHS England Region","Y63",NA,"Workforce","TDS","45-54","F",NA,36,"2016",NA,NA
"252","2015-16","2.NHS England Region","Y63",NA,"Workforce","TDS","45-54","M",NA,12,"2016",NA,NA
